param,AICc,MNCI,RSQ2,GSS
mu0,-5.9,-45.5,11.2,-18.4
betaG0,-3.2,-11.3,5.4,-23.5
betaF0,,,,
Kn0,6.2,83.3,-10.0,22.5
Kg0,2.5,7.5,-4.1,23.9
Kf0,2.0,10.0,-2.8,20.0
Kig0,2.0,-1.5,-4.7,-3.9
Kie0,2.9,19.7,-6.0,29.5
Yxn,-2.8,-16.4,6.4,-22.8
Yxg,-0.4,-7.2,0.2,11.0
Yxf,-0.5,-18.9,2.4,1.0
Yeg,-4.1,-12.4,6.0,-27.6
Yef,1.2,99.1,-2.0,-18.0
