param,AICc,MNCI,RSQ2,GSS
mu0,-5.0,-39.3,7.2,-21.0
betaG0,-3.8,-16.2,4.3,-11.4
betaF0,-2.8,-16.9,2.8,-6.2
Kn0,5.3,64.6,-6.7,26.5
Kg0,3.0,7.6,-3.8,13.9
Kf0,2.7,20.0,-3.3,13.7
Kig0,2.1,0.8,-2.1,-7.9
Kie0,0.2,12.6,-2.3,43.2
Yxn,-0.5,-18.3,3.2,-33.0
Yxg,1.0,-8.4,-1.0,18.7
Yxf,1.9,-1.3,-2.5,5.7
Yeg,-3.6,6.3,5.0,-18.9
Yef,-1.9,25.1,1.9,-0.2
