estim_params,param,index,delta_mean_pct
8,mu0,AICc,-5.9
8,betaG0,AICc,-3.2
8,betaF0,AICc,
8,Kn0,AICc,6.2
8,Kg0,AICc,2.5
8,Kf0,AICc,2.0
8,Kig0,AICc,2.0
8,Kie0,AICc,2.9
8,Yxn,AICc,-2.8
8,Yxg,AICc,-0.4
8,Yxf,AICc,-0.5
8,Yeg,AICc,-4.1
8,Yef,AICc,1.2
8,mu0,MNCI,-45.5
8,betaG0,MNCI,-11.3
8,betaF0,MNCI,
8,Kn0,MNCI,83.3
8,Kg0,MNCI,7.5
8,Kf0,MNCI,10.0
8,Kig0,MNCI,-1.5
8,Kie0,MNCI,19.7
8,Yxn,MNCI,-16.4
8,Yxg,MNCI,-7.2
8,Yxf,MNCI,-18.9
8,Yeg,MNCI,-12.4
8,Yef,MNCI,99.1
8,mu0,RSQ2,11.2
8,betaG0,RSQ2,5.4
8,betaF0,RSQ2,
8,Kn0,RSQ2,-10.0
8,Kg0,RSQ2,-4.1
8,Kf0,RSQ2,-2.8
8,Kig0,RSQ2,-4.7
8,Kie0,RSQ2,-6.0
8,Yxn,RSQ2,6.4
8,Yxg,RSQ2,0.2
8,Yxf,RSQ2,2.4
8,Yeg,RSQ2,6.0
8,Yef,RSQ2,-2.0
8,mu0,GSS,-18.4
8,betaG0,GSS,-23.5
8,betaF0,GSS,
8,Kn0,GSS,22.5
8,Kg0,GSS,23.9
8,Kf0,GSS,20.0
8,Kig0,GSS,-3.9
8,Kie0,GSS,29.5
8,Yxn,GSS,-22.8
8,Yxg,GSS,11.0
8,Yxf,GSS,1.0
8,Yeg,GSS,-27.6
8,Yef,GSS,-18.0
7,mu0,AICc,-5.0
7,betaG0,AICc,-3.8
7,betaF0,AICc,-2.8
7,Kn0,AICc,5.3
7,Kg0,AICc,3.0
7,Kf0,AICc,2.7
7,Kig0,AICc,2.1
7,Kie0,AICc,0.2
7,Yxn,AICc,-0.5
7,Yxg,AICc,1.0
7,Yxf,AICc,1.9
7,Yeg,AICc,-3.6
7,Yef,AICc,-1.9
7,mu0,MNCI,-39.3
7,betaG0,MNCI,-16.2
7,betaF0,MNCI,-16.9
7,Kn0,MNCI,64.6
7,Kg0,MNCI,7.6
7,Kf0,MNCI,20.0
7,Kig0,MNCI,0.8
7,Kie0,MNCI,12.6
7,Yxn,MNCI,-18.3
7,Yxg,MNCI,-8.4
7,Yxf,MNCI,-1.3
7,Yeg,MNCI,6.3
7,Yef,MNCI,25.1
7,mu0,RSQ2,7.2
7,betaG0,RSQ2,4.3
7,betaF0,RSQ2,2.8
7,Kn0,RSQ2,-6.7
7,Kg0,RSQ2,-3.8
7,Kf0,RSQ2,-3.3
7,Kig0,RSQ2,-2.1
7,Kie0,RSQ2,-2.3
7,Yxn,RSQ2,3.2
7,Yxg,RSQ2,-1.0
7,Yxf,RSQ2,-2.5
7,Yeg,RSQ2,5.0
7,Yef,RSQ2,1.9
7,mu0,GSS,-21.0
7,betaG0,GSS,-11.4
7,betaF0,GSS,-6.2
7,Kn0,GSS,26.5
7,Kg0,GSS,13.9
7,Kf0,GSS,13.7
7,Kig0,GSS,-7.9
7,Kie0,GSS,43.2
7,Yxn,GSS,-33.0
7,Yxg,GSS,18.7
7,Yxf,GSS,5.7
7,Yeg,GSS,-18.9
7,Yef,GSS,-0.2
