estim_params,param,index,delta_median_pct,delta_iqr25_pct,delta_iqr75_pct,ci_low,ci_high,n_fixed_grp,n_free_grp
7,mu0,AICc,-5.271,-6.024,-4.108,-6.836,-2.918,32,55
7,mu0,MNCI,-45.791,-47.548,-43.73,-50.888,-37.853,32,55
7,mu0,RSQ2,7.926,5.974,8.859,4.538,10.414,32,55
7,mu0,GSS,-19.16,-25.247,-15.077,-33.798,-5.274,32,55
7,betaG0,AICc,-3.106,-3.673,-2.392,-5.45,-1.232,51,36
7,betaG0,MNCI,-12.653,-19.709,-6.236,-30.733,4.026,51,36
7,betaG0,RSQ2,4.339,3.33,5.105,1.492,6.684,51,36
7,betaG0,GSS,-8.451,-15.045,-2.727,-25.738,2.958,51,36
7,betaF0,AICc,-2.085,-2.965,-1.415,-4.266,-0.18,69,18
7,betaF0,MNCI,-19.405,-22.146,-16.9,-30.104,-10.288,69,18
7,betaF0,RSQ2,2.343,1.35,3.392,-0.975,5.904,69,18
7,betaF0,GSS,-6.199,-9.707,-2.608,-19.997,24.53,69,18
7,Kn0,AICc,5.57,4.434,6.384,2.898,7.621,55,32
7,Kn0,MNCI,84.724,78.809,90.697,61.5,102.806,55,32
7,Kn0,RSQ2,-7.32,-8.087,-5.721,-9.38,-4.192,55,32
7,Kn0,GSS,24.585,17.216,35.177,5.181,50.051,55,32
7,Kg0,AICc,3.003,2.517,3.524,1.309,5.021,46,41
7,Kg0,MNCI,1.437,-3.018,9.009,-12.141,31.201,46,41
7,Kg0,RSQ2,-4.137,-4.915,-3.231,-6.301,-0.731,46,41
7,Kg0,GSS,9.395,3.74,17.755,-3.536,35.255,46,41
7,Kf0,AICc,2.696,1.813,3.273,0.547,4.691,38,49
7,Kf0,MNCI,21.276,13.991,28.025,1.227,47.625,38,49
7,Kf0,RSQ2,-3.174,-4.142,-2.232,-5.582,-0.095,38,49
7,Kf0,GSS,8.588,4.563,18.679,-1.574,31.656,38,49
7,Kig0,AICc,1.991,0.89,2.891,-0.551,4.608,41,46
7,Kig0,MNCI,8.579,2.062,14.69,-7.171,30.295,41,46
7,Kig0,RSQ2,-2.742,-3.624,-1.808,-5.269,0.103,41,46
7,Kig0,GSS,-3.841,-7.191,2.661,-22.748,11.399,41,46
7,Kie0,AICc,0.318,-0.322,1.388,-1.31,2.886,48,39
7,Kie0,MNCI,2.743,-6.145,9.368,-15.286,26.573,48,39
7,Kie0,RSQ2,-2.534,-3.382,-1.825,-4.746,-0.425,48,39
7,Kie0,GSS,44.583,40.96,51.494,29.772,59.157,48,39
7,Yxn,AICc,-0.555,-1.327,0.109,-3.032,1.277,44,43
7,Yxn,MNCI,-10.448,-16.49,-4.68,-41.231,9.007,44,43
7,Yxn,RSQ2,3.621,2.914,4.352,1.443,5.798,44,43
7,Yxn,GSS,-34.239,-35.65,-31.16,-37.878,-26.063,44,43
7,Yxg,AICc,0.633,0.044,1.147,-1.741,2.277,29,58
7,Yxg,MNCI,-5.568,-13.246,2.154,-30.738,9.183,29,58
7,Yxg,RSQ2,-0.696,-1.496,0.16,-3.242,2.186,29,58
7,Yxg,GSS,16.545,10.108,22.684,2.159,39.068,29,58
7,Yxf,AICc,1.571,0.905,2.646,-0.668,4.793,25,62
7,Yxf,MNCI,6.793,0.635,14.345,-7.58,29.795,25,62
7,Yxf,RSQ2,-2.861,-3.755,-2.056,-5.805,-0.241,25,62
7,Yxf,GSS,3.753,-0.145,11.335,-15.999,24.905,25,62
7,Yeg,AICc,-4.045,-4.403,-3.279,-6.057,-1.513,25,62
7,Yeg,MNCI,-5.263,-10.797,-0.371,-32.271,15.25,25,62
7,Yeg,RSQ2,5.31,4.265,6.917,2.353,9.866,25,62
7,Yeg,GSS,-16.61,-22.471,-13.514,-30.813,-2.891,25,62
7,Yef,AICc,-2.112,-2.637,-0.928,-3.697,0.88,19,68
7,Yef,MNCI,16.733,11.617,25.162,-2.034,60.245,19,68
7,Yef,RSQ2,1.636,0.529,3.056,-1.556,6.641,19,68
7,Yef,GSS,-2.24,-5.138,0.891,-18.668,12.218,19,68
