param,index,delta_median_pct,sign
mu0,AICc,-5.271,beneficial
mu0,MNCI,-45.791,beneficial
mu0,RSQ2,7.926,costly
mu0,GSS,-19.16,beneficial
betaG0,AICc,-3.106,beneficial
betaG0,MNCI,-12.653,beneficial
betaG0,RSQ2,4.339,costly
betaG0,GSS,-8.451,beneficial
betaF0,AICc,-2.085,beneficial
betaF0,MNCI,-19.405,beneficial
betaF0,RSQ2,2.343,costly
betaF0,GSS,-6.199,beneficial
Kf0,AICc,2.696,costly
Kf0,MNCI,21.276,costly
Kf0,RSQ2,-3.174,beneficial
Kf0,GSS,8.588,costly
Kie0,AICc,0.318,costly
Kie0,MNCI,2.743,costly
Kie0,RSQ2,-2.534,beneficial
Kie0,GSS,44.583,costly
Yeg,AICc,-4.045,beneficial
Yeg,MNCI,-5.263,beneficial
Yeg,RSQ2,5.31,costly
Yeg,GSS,-16.61,beneficial
