pair,count_top,count_rest,N_top,N_rest,freq_top,freq_rest,enrichment_ratio,p_value
betaF0+Kig0,6,19,26,77,0.23076923076923078,0.24675324675324675,0.9352226720647774,0.6585394090333458
betaF0+Yxg,6,21,26,77,0.23076923076923078,0.2727272727272727,0.8461538461538463,0.747188001918708
betaF0+Kie0,10,38,26,77,0.38461538461538464,0.4935064935064935,0.7793522267206479,0.8832787031261342
Kig0+Yeg,1,4,26,77,0.038461538461538464,0.05194805194805195,0.7403846153846154,0.7743027872176138
Kf0+Yef,1,5,26,77,0.038461538461538464,0.06493506493506493,0.5923076923076924,0.8341816395884509
Kie0+Yef,2,10,26,77,0.07692307692307693,0.12987012987012986,0.5923076923076924,0.8623588130178146
betaG0+Kf0,3,15,26,77,0.11538461538461539,0.19480519480519481,0.5923076923076923,0.8928729653353712
Kig0+Kie0,4,21,26,77,0.15384615384615385,0.2727272727272727,0.5641025641025642,0.9363278845124529
Kn0+Yef,2,11,26,77,0.07692307692307693,0.14285714285714285,0.5384615384615385,0.8935699665285142
Kig0+Yxn,3,17,26,77,0.11538461538461539,0.22077922077922077,0.5226244343891403,0.9342650361912915
betaG0+Kn0,6,34,26,77,0.23076923076923078,0.44155844155844154,0.5226244343891403,0.9857782593761991
Kg0+Yef,1,6,26,77,0.038461538461538464,0.07792207792207792,0.4935897435897436,0.8786277980492786
Kie0+Yxf,2,12,26,77,0.07692307692307693,0.15584415584415584,0.4935897435897436,0.9183654940397923
Kn0+Yxn,4,25,26,77,0.15384615384615385,0.3246753246753247,0.47384615384615386,0.9773300456895609
betaF0+Kf0,3,19,26,77,0.11538461538461539,0.24675324675324675,0.4676113360323887,0.9610049389542173
betaF0+Kg0,6,38,26,77,0.23076923076923078,0.4935064935064935,0.4676113360323887,0.9958221980127077
Kg0+Yxn,3,20,26,77,0.11538461538461539,0.2597402597402597,0.4442307692307693,0.9703347816939443
Kg0+Kie0,4,30,26,77,0.15384615384615385,0.38961038961038963,0.39487179487179486,0.9948916057409652
Kig0+Yxg,1,8,26,77,0.038461538461538464,0.1038961038961039,0.3701923076923077,0.935720643045835
Kig0+Yxf,1,8,26,77,0.038461538461538464,0.1038961038961039,0.3701923076923077,0.935720643045835
Kf0+Yxn,2,17,26,77,0.07692307692307693,0.22077922077922077,0.3484162895927602,0.9806251155515658
Kie0+Yxg,2,17,26,77,0.07692307692307693,0.22077922077922077,0.3484162895927602,0.9806251155515658
betaF0+Kn0,6,52,26,77,0.23076923076923078,0.6753246753246753,0.34171597633136097,0.9999886648846282
Kf0+Yxg,1,9,26,77,0.038461538461538464,0.11688311688311688,0.3290598290598291,0.9535000396501785
Kg0+Yxf,1,10,26,77,0.038461538461538464,0.12987012987012986,0.2961538461538462,0.9665000285651824
Kn0+Yxg,2,20,26,77,0.07692307692307693,0.2597402597402597,0.2961538461538462,0.9924931582007958
Kf0+Kie0,2,20,26,77,0.07692307692307693,0.2597402597402597,0.2961538461538462,0.9924931582007958
Kn0+Yxf,2,22,26,77,0.07692307692307693,0.2857142857142857,0.2692307692307693,0.9961478514688089
Kg0+Yxg,1,16,26,77,0.038461538461538464,0.2077922077922078,0.18509615384615385,0.9957314525220599
Kn0+Kie0,2,38,26,77,0.07692307692307693,0.4935064935064935,0.15587044534412955,0.9999940091446866
Kf0+Kig0,1,20,26,77,0.038461538461538464,0.2597402597402597,0.1480769230769231,0.9990198072809956
Kg0+Kig0,1,23,26,77,0.038461538461538464,0.2987012987012987,0.1287625418060201,0.9996931917099051
Kn0+Kg0,0,36,26,77,0.0,0.4675324675324675,0.0,1.0
Kn0+Kf0,0,26,26,77,0.0,0.33766233766233766,0.0,1.0
Kn0+Kig0,0,28,26,77,0.0,0.36363636363636365,0.0,1.0
Kg0+Kf0,0,24,26,77,0.0,0.3116883116883117,0.0,1.0
Kf0+Yxf,0,8,26,77,0.0,0.1038961038961039,0.0,1.0
Yxg+Yxf,0,3,26,77,0.0,0.03896103896103896,0.0,1.0
mu0+Yxf,5,0,26,77,0.19230769230769232,0.0,,0.0007514172319573477
Yeg+Yef,1,0,26,77,0.038461538461538464,0.0,,0.25242718446601947
mu0+Kn0,0,0,26,77,0.0,0.0,,1.0
