pair,count_top,count_rest,N_top,N_rest,freq_top,freq_rest,enrichment_ratio,p_value
mu0+Yeg,10,1,26,77,0.38461538461538464,0.012987012987012988,29.615384615384617,2.0893577744974707e-06
mu0+betaG0,17,4,26,77,0.6538461538461539,0.05194805194805195,12.586538461538462,1.0655104458241097e-09
betaG0+Yeg,13,4,26,77,0.5,0.05194805194805195,9.625,1.2882401487368813e-06
mu0+Yef,5,2,26,77,0.19230769230769232,0.025974025974025976,7.403846153846154,0.010642126378671332
mu0+betaF0,19,8,26,77,0.7307692307692307,0.1038961038961039,7.033653846153845,2.9877254870374786e-09
Kie0+Yeg,6,3,26,77,0.23076923076923078,0.03896103896103896,5.923076923076923,0.007526552997456428
Yxg+Yeg,4,2,26,77,0.15384615384615385,0.025974025974025976,5.923076923076923,0.03429682937291037
Yxf+Yef,2,1,26,77,0.07692307692307693,0.012987012987012988,5.923076923076923,0.15620494088243778
Yxn+Yef,5,3,26,77,0.19230769230769232,0.03896103896103896,4.935897435897436,0.023290821729757494
betaF0+Yeg,15,9,26,77,0.5769230769230769,0.11688311688311688,4.935897435897435,7.656925236140073e-06
mu0+Yxn,13,8,26,77,0.5,0.1038961038961039,4.8125,5.9844848790695917e-05
Yxn+Yeg,11,8,26,77,0.4230769230769231,0.1038961038961039,4.072115384615384,0.0007672754731555247
mu0+Kie0,9,9,26,77,0.34615384615384615,0.11688311688311688,2.9615384615384617,0.011600209119135936
Yxf+Yeg,2,2,26,77,0.07692307692307693,0.025974025974025976,2.9615384615384617,0.263747448417029
betaG0+Yxn,14,16,26,77,0.5384615384615384,0.2077922077922078,2.5913461538461537,0.0019682202227541503
mu0+Kig0,7,8,26,77,0.2692307692307692,0.1038961038961039,2.5913461538461537,0.04520265389785333
betaG0+Yef,6,7,26,77,0.23076923076923078,0.09090909090909091,2.5384615384615383,0.06961195519117645
betaG0+betaF0,22,28,26,77,0.8461538461538461,0.36363636363636365,2.3269230769230766,1.6965090817199932e-05
betaF0+Yxn,17,24,26,77,0.6538461538461539,0.3116883116883117,2.09775641025641,0.0023042568710084244
mu0+Yxg,4,6,26,77,0.15384615384615385,0.07792207792207792,1.9743589743589745,0.22079012368856885
Kie0+Yxn,2,3,26,77,0.07692307692307693,0.03896103896103896,1.9743589743589745,0.3723762439065153
Kf0+Yeg,3,5,26,77,0.11538461538461539,0.06493506493506493,1.7769230769230773,0.3244397597408348
Kig0+Yef,3,5,26,77,0.11538461538461539,0.06493506493506493,1.7769230769230773,0.3244397597408348
betaF0+Yef,6,11,26,77,0.23076923076923078,0.14285714285714285,1.6153846153846156,0.22559464744541216
betaG0+Yxf,7,13,26,77,0.2692307692307692,0.16883116883116883,1.5946745562130176,0.2001277508039846
Kn0+Yeg,5,10,26,77,0.19230769230769232,0.12987012987012986,1.480769230769231,0.31291392595286494
Yxn+Yxf,5,10,26,77,0.19230769230769232,0.12987012987012986,1.480769230769231,0.31291392595286494
mu0+Kg0,6,12,26,77,0.23076923076923078,0.15584415584415584,1.4807692307692308,0.27696008304422387
betaG0+Kg0,4,9,26,77,0.15384615384615385,0.11688311688311688,1.3162393162393164,0.4242380685877695
betaG0+Kie0,10,23,26,77,0.38461538461538464,0.2987012987012987,1.2876254180602007,0.2817158586239903
Kg0+Yeg,3,7,26,77,0.11538461538461539,0.09090909090909091,1.2692307692307692,0.48582460723157755
betaG0+Kig0,7,17,26,77,0.2692307692307692,0.22077922077922077,1.2194570135746605,0.397769462370803
mu0+Kf0,4,10,26,77,0.15384615384615385,0.12987012987012986,1.1846153846153848,0.4923332486187421
Yxn+Yxg,4,10,26,77,0.15384615384615385,0.12987012987012986,1.1846153846153848,0.4923332486187421
betaF0+Yxf,7,18,26,77,0.2692307692307692,0.23376623376623376,1.1517094017094016,0.4511886428191944
betaG0+Yxg,4,12,26,77,0.15384615384615385,0.15584415584415584,0.9871794871794872,0.6187423168606101
Yxg+Yef,1,3,26,77,0.038461538461538464,0.03896103896103896,0.9871794871794872,0.6939174785553941
