scenario,pair,spearman_rho
Goodness-of-fit,VIKOR::Goodness-of-fit vs MEW::Goodness-of-fit,0.9378360126325613
Goodness-of-fit,VIKOR::Goodness-of-fit vs GRA::Goodness-of-fit,0.8248473399815489
Goodness-of-fit,VIKOR::Goodness-of-fit vs FUCA::Goodness-of-fit,0.9946925495594242
Goodness-of-fit,SAW::Goodness-of-fit vs MEW::Goodness-of-fit,0.9502303695529772
Goodness-of-fit,SAW::Goodness-of-fit vs GRA::Goodness-of-fit,0.8714580679172341
Goodness-of-fit,SAW::Goodness-of-fit vs FUCA::Goodness-of-fit,0.9945991955417662
Goodness-of-fit,MEW::Goodness-of-fit vs GRA::Goodness-of-fit,0.828142933551788
Goodness-of-fit,MEW::Goodness-of-fit vs FUCA::Goodness-of-fit,0.9343895442355274
Goodness-of-fit,GRA::Goodness-of-fit vs FUCA::Goodness-of-fit,0.8582034843305383
Identifiability,TOPSIS::Identifiability vs LINMAP::Identifiability,0.9990225365725081
Identifiability,TOPSIS::Identifiability vs VIKOR::Identifiability,0.996364714668541
Identifiability,TOPSIS::Identifiability vs SAW::Identifiability,0.9803848350393182
Identifiability,TOPSIS::Identifiability vs MEW::Identifiability,0.918895765836587
Identifiability,TOPSIS::Identifiability vs GRA::Identifiability,0.8453630892237403
Identifiability,TOPSIS::Identifiability vs FUCA::Identifiability,0.9899370413016747
Identifiability,LINMAP::Identifiability vs VIKOR::Identifiability,0.9973970917717349
Identifiability,LINMAP::Identifiability vs SAW::Identifiability,0.9838553793436718
Identifiability,LINMAP::Identifiability vs MEW::Identifiability,0.9294120234806262
Identifiability,LINMAP::Identifiability vs GRA::Identifiability,0.8560273250450292
Identifiability,LINMAP::Identifiability vs FUCA::Identifiability,0.9902994725564296
Identifiability,VIKOR::Identifiability vs SAW::Identifiability,0.9903571585467644
Identifiability,VIKOR::Identifiability vs MEW::Identifiability,0.9343159493689431
Identifiability,VIKOR::Identifiability vs GRA::Identifiability,0.8767846944603084
Identifiability,VIKOR::Identifiability vs FUCA::Identifiability,0.9928804224008958
Identifiability,SAW::Identifiability vs MEW::Identifiability,0.9417294991441143
Identifiability,SAW::Identifiability vs GRA::Identifiability,0.9189803628695691
Identifiability,SAW::Identifiability vs FUCA::Identifiability,0.9871584016818876
Identifiability,MEW::Identifiability vs GRA::Identifiability,0.8922838679028985
Identifiability,MEW::Identifiability vs FUCA::Identifiability,0.9231761933861631
Identifiability,GRA::Identifiability vs FUCA::Identifiability,0.8877424102261042
Sensitivity,TOPSIS::Sensitivity vs LINMAP::Sensitivity,0.9994618459781224
Sensitivity,TOPSIS::Sensitivity vs VIKOR::Sensitivity,0.9920814479638009
Sensitivity,TOPSIS::Sensitivity vs SAW::Sensitivity,0.9505886746035233
Sensitivity,TOPSIS::Sensitivity vs MEW::Sensitivity,0.8230248384477439
Sensitivity,TOPSIS::Sensitivity vs GRA::Sensitivity,-0.014585072266397225
Sensitivity,TOPSIS::Sensitivity vs FUCA::Sensitivity,0.9560112793035622
Sensitivity,LINMAP::Sensitivity vs VIKOR::Sensitivity,0.9906646751306947
Sensitivity,LINMAP::Sensitivity vs SAW::Sensitivity,0.9478320080832932
Sensitivity,LINMAP::Sensitivity vs MEW::Sensitivity,0.8237277527967971
Sensitivity,LINMAP::Sensitivity vs GRA::Sensitivity,-0.02549092826077406
Sensitivity,LINMAP::Sensitivity vs FUCA::Sensitivity,0.9537378468873727
Sensitivity,VIKOR::Sensitivity vs SAW::Sensitivity,0.9786715283574222
Sensitivity,VIKOR::Sensitivity vs MEW::Sensitivity,0.861273263769275
Sensitivity,VIKOR::Sensitivity vs GRA::Sensitivity,0.08867460352326144
Sensitivity,VIKOR::Sensitivity vs FUCA::Sensitivity,0.9792617934343503
Sensitivity,SAW::Sensitivity vs MEW::Sensitivity,0.9119105544928703
Sensitivity,SAW::Sensitivity vs GRA::Sensitivity,0.2565676756139349
Sensitivity,SAW::Sensitivity vs FUCA::Sensitivity,0.9888607303027058
Sensitivity,MEW::Sensitivity vs GRA::Sensitivity,0.3709850137862695
Sensitivity,MEW::Sensitivity vs FUCA::Sensitivity,0.9114792271802342
Sensitivity,GRA::Sensitivity vs FUCA::Sensitivity,0.25250475691117047
