triad,OR,p_value,top_count,rest_count,q_value
mu0&Kie0&Yeg,6.615384615384615,0.1002753730541529,2,2,0.6828275403211365
mu0&Kie0&Yef,13.384615384615385,0.054820159343175884,2,1,0.5226188524049434
mu0&Yxn&Yxg,7.083333333333333,0.038762627996502846,3,3,0.41059672618517834
mu0&Yxn&Yxf,6.615384615384615,0.1002753730541529,2,2,0.6828275403211365
mu0&Yxn&Yeg,6.036363636363636,0.024326314512362092,4,5,0.3865181083630866
mu0&Yxn&Yef,6.615384615384615,0.1002753730541529,2,2,0.6828275403211365
mu0&Yxg&Yxf,,1.0,0,0,1.0
mu0&Yxg&Yeg,inf,0.019988577955454025,2,0,0.3583862387313747
mu0&Yxg&Yef,inf,0.14563106796116507,1,0,0.7540727089113329
mu0&Yxf&Yeg,inf,0.14563106796116507,1,0,0.7540727089113329
mu0&Yxf&Yef,inf,0.14563106796116507,1,0,0.7540727089113329
mu0&Yeg&Yef,,1.0,0,0,1.0
betaG0&betaF0&Kn0,0.125,0.03300225128701244,1,32,0.41059672618517834
betaG0&betaF0&Kg0,2.892857142857143,0.15930790371582054,3,7,0.7593676743787445
betaG0&betaF0&Kf0,2.5538461538461537,0.2693211915240453,2,5,0.9578300935620561
betaG0&betaF0&Kig0,1.0769230769230769,1.0,2,11,1.0
betaG0&betaF0&Kie0,3.1776315789473686,0.053843584487781856,7,19,0.5226188524049434
betaG0&betaF0&Yxn,1.1601731601731602,0.755337287273804,4,21,1.0
betaG0&betaF0&Yxg,2.8363636363636364,0.1197935552486785,4,10,0.7303497872489069
betaG0&betaF0&Yxf,1.2166666666666666,0.7231410346274807,3,15,1.0
betaG0&betaF0&Yeg,5.2,0.011896709159421363,6,10,0.28353823496620917
betaG0&betaF0&Yef,1.3504273504273505,0.6605473850077472,2,9,1.0
betaG0&Kn0&Kg0,0.0,0.589725802727405,0,7,1.0
betaG0&Kn0&Kf0,0.0,0.20609833953005136,0,12,0.8713440018934419
betaG0&Kn0&Kig0,0.0,0.21326601444944382,0,14,0.8713440018934419
betaG0&Kn0&Kie0,0.21428571428571427,0.1804452230963457,1,22,0.8417103193918832
betaG0&Kn0&Yxn,0.0,0.0701719388262961,0,17,0.6081568031612329
betaG0&Kn0&Yxg,0.5,1.0,1,11,1.0
betaG0&Kn0&Yxf,0.0,0.11904179567142809,0,15,0.7303497872489069
betaG0&Kn0&Yeg,0.7142857142857143,1.0,1,8,1.0
betaG0&Kn0&Yef,0.0,0.3502320960300285,0,9,0.9690810141224613
betaG0&Kg0&Kf0,0.0,1.0,0,3,1.0
betaG0&Kg0&Kig0,0.0,1.0,0,5,1.0
betaG0&Kg0&Kie0,3.4166666666666665,0.1225761880697466,3,6,0.7303497872489069
betaG0&Kg0&Yxn,0.0,1.0,0,4,1.0
betaG0&Kg0&Yxg,6.214285714285714,0.271273557966876,1,1,0.9578300935620561
betaG0&Kg0&Yxf,6.214285714285714,0.271273557966876,1,1,0.9578300935620561
betaG0&Kg0&Yeg,6.214285714285714,0.271273557966876,1,1,0.9578300935620561
betaG0&Kg0&Yef,,1.0,0,0,1.0
betaG0&Kf0&Kig0,0.5571428571428572,1.0,1,10,1.0
betaG0&Kf0&Kie0,1.5384615384615385,0.6367192958080609,2,8,1.0
betaG0&Kf0&Yxn,0.7142857142857143,1.0,1,8,1.0
betaG0&Kf0&Yxg,0.0,1.0,0,3,1.0
betaG0&Kf0&Yxf,0.0,1.0,0,4,1.0
betaG0&Kf0&Yeg,6.615384615384615,0.1002753730541529,2,2,0.6828275403211365
betaG0&Kf0&Yef,3.0714285714285716,0.3795002572787261,1,2,0.9690810141224613
betaG0&Kig0&Kie0,1.5833333333333333,0.454919030053964,3,12,1.0
betaG0&Kig0&Yxn,0.0,0.35063574125690855,0,10,0.9690810141224613
betaG0&Kig0&Yxg,2.0238095238095237,0.47257521868691726,1,3,1.0
betaG0&Kig0&Yxf,0.0,1.0,0,5,1.0
betaG0&Kig0&Yeg,0.0,1.0,0,3,1.0
betaG0&Kig0&Yef,4.358974358974359,0.15292383607292767,2,3,0.7540727089113329
betaG0&Kie0&Yxn,0.0,1.0,0,2,1.0
betaG0&Kie0&Yxg,3.4166666666666665,0.1225761880697466,3,6,0.7303497872489069
betaG0&Kie0&Yxf,0.7142857142857143,1.0,1,8,1.0
betaG0&Kie0&Yeg,7.083333333333333,0.038762627996502846,3,3,0.41059672618517834
betaG0&Kie0&Yef,2.1025641025641026,0.32915284529296546,2,6,0.9690810141224613
betaG0&Yxn&Yxg,0.9761904761904762,1.0,1,6,1.0
betaG0&Yxn&Yxf,1.3504273504273505,0.6605473850077472,2,9,1.0
betaG0&Yxn&Yeg,2.1944444444444446,0.37610487758340866,3,9,0.9690810141224613
betaG0&Yxn&Yef,1.5,0.5524880643404146,1,4,1.0
betaG0&Yxg&Yxf,0.0,1.0,0,2,1.0
betaG0&Yxg&Yeg,13.384615384615385,0.054820159343175884,2,1,0.5226188524049434
betaG0&Yxg&Yef,0.0,1.0,0,2,1.0
betaG0&Yxf&Yeg,3.0714285714285716,0.3795002572787261,1,2,0.9690810141224613
betaG0&Yxf&Yef,3.0714285714285716,0.3795002572787261,1,2,0.9690810141224613
betaG0&Yeg&Yef,0.0,1.0,0,1,1.0
betaF0&Kn0&Kg0,0.0,0.004826886060978026,0,30,0.23008156890661924
betaF0&Kn0&Kf0,0.0,0.11904179567142809,0,15,0.7303497872489069
betaF0&Kn0&Kig0,0.0,0.0701719388262961,0,17,0.6081568031612329
betaF0&Kn0&Kie0,0.125,0.03300225128701244,1,32,0.41059672618517834
betaF0&Kn0&Yxn,0.0,0.019167781827238863,0,25,0.3583862387313747
betaF0&Kn0&Yxg,0.2777777777777778,0.293387820001618,1,18,0.9690810141224613
betaF0&Kn0&Yxf,0.0,0.038737304626363885,0,20,0.41059672618517834
betaF0&Kn0&Yeg,0.41208791208791207,0.6866212815216446,1,13,1.0
betaF0&Kn0&Yef,0.0,0.20609833953005136,0,12,0.8713440018934419
betaF0&Kg0&Kf0,0.0,0.21326601444944382,0,14,0.8713440018934419
betaF0&Kg0&Kig0,0.0,0.21326601444944382,0,14,0.8713440018934419
betaF0&Kg0&Kie0,0.5648148148148148,0.5442771195533911,3,27,1.0
betaF0&Kg0&Yxn,0.32142857142857145,0.45541617144874824,1,16,1.0
betaF0&Kg0&Yxg,0.9743589743589743,1.0,2,12,1.0
betaF0&Kg0&Yxf,0.7142857142857143,1.0,1,8,1.0
betaF0&Kg0&Yeg,0.7142857142857143,1.0,1,8,1.0
betaF0&Kg0&Yef,1.1857142857142857,1.0,1,5,1.0
betaF0&Kf0&Kig0,0.0,1.0,0,3,1.0
betaF0&Kf0&Kie0,0.5,1.0,1,11,1.0
betaF0&Kf0&Yxn,1.5384615384615385,0.6367192958080609,2,8,1.0
betaF0&Kf0&Yxg,1.5,0.5524880643404146,1,4,1.0
betaF0&Kf0&Yxf,0.0,1.0,0,4,1.0
betaF0&Kf0&Yeg,7.083333333333333,0.038762627996502846,3,3,0.41059672618517834
betaF0&Kf0&Yef,0.0,1.0,0,3,1.0
betaF0&Kig0&Kie0,0.8875739644970414,1.0,2,13,1.0
betaF0&Kig0&Yxn,0.0,0.35976658691334573,0,11,0.9690810141224613
betaF0&Kig0&Yxg,2.0238095238095237,0.47257521868691726,1,3,1.0
betaF0&Kig0&Yxf,0.0,1.0,0,5,1.0
betaF0&Kig0&Yeg,0.0,1.0,0,3,1.0
betaF0&Kig0&Yef,1.5,0.5524880643404146,1,4,1.0
betaF0&Kie0&Yxn,0.0,1.0,0,4,1.0
betaF0&Kie0&Yxg,1.4423076923076923,0.6992459177912046,3,13,1.0
betaF0&Kie0&Yxf,0.5,1.0,1,11,1.0
betaF0&Kie0&Yeg,4.15,0.08982623021728513,3,5,0.6828275403211365
betaF0&Kie0&Yef,0.626984126984127,1.0,1,9,1.0
betaF0&Yxn&Yxg,2.1944444444444446,0.37610487758340866,3,9,0.9690810141224613
betaF0&Yxn&Yxf,1.0769230769230769,1.0,2,11,1.0
betaF0&Yxn&Yeg,1.922077922077922,0.29267692055302164,4,14,0.9690810141224613
betaF0&Yxn&Yef,2.5538461538461537,0.2693211915240453,2,5,0.9578300935620561
betaF0&Yxg&Yxf,0.0,1.0,0,3,1.0
betaF0&Yxg&Yeg,7.083333333333333,0.038762627996502846,3,3,0.41059672618517834
betaF0&Yxg&Yef,2.0238095238095237,0.47257521868691726,1,3,1.0
betaF0&Yxf&Yeg,2.0238095238095237,0.47257521868691726,1,3,1.0
betaF0&Yxf&Yef,3.0714285714285716,0.3795002572787261,1,2,0.9690810141224613
betaF0&Yeg&Yef,0.0,1.0,0,1,1.0
Kn0&Kg0&Kf0,0.3476190476190476,0.4559692824045345,1,15,1.0
Kn0&Kg0&Kig0,0.32142857142857145,0.45541617144874824,1,16,1.0
Kn0&Kg0&Kie0,0.22789115646258504,0.18246867063740127,1,21,0.8417103193918832
Kn0&Kg0&Yxn,0.0,0.21326601444944382,0,14,0.8713440018934419
Kn0&Kg0&Yxg,0.0,0.35976658691334573,0,11,0.9690810141224613
Kn0&Kg0&Yxf,0.626984126984127,1.0,1,9,1.0
Kn0&Kg0&Yeg,0.0,0.5890196509248706,0,6,1.0
Kn0&Kg0&Yef,0.0,1.0,0,4,1.0
Kn0&Kf0&Kig0,0.4523809523809524,0.6860398738806831,1,12,1.0
Kn0&Kf0&Kie0,0.37755102040816324,0.6912258089323032,1,14,1.0
Kn0&Kf0&Yxn,0.0,0.35976658691334573,0,11,0.9690810141224613
Kn0&Kf0&Yxg,0.0,1.0,0,5,1.0
Kn0&Kf0&Yxf,0.826530612244898,1.0,1,7,1.0
Kn0&Kf0&Yeg,0.0,1.0,0,4,1.0
Kn0&Kf0&Yef,0.0,1.0,0,3,1.0
Kn0&Kig0&Kie0,0.32142857142857145,0.45541617144874824,1,16,1.0
Kn0&Kig0&Yxn,0.0,0.35976658691334573,0,11,0.9690810141224613
Kn0&Kig0&Yxg,0.0,0.5890196509248706,0,6,1.0
Kn0&Kig0&Yxf,0.826530612244898,1.0,1,7,1.0
Kn0&Kig0&Yeg,0.0,1.0,0,3,1.0
Kn0&Kig0&Yef,0.0,1.0,0,4,1.0
Kn0&Kie0&Yxn,,1.0,0,0,1.0
Kn0&Kie0&Yxg,0.41208791208791207,0.6866212815216446,1,13,1.0
Kn0&Kie0&Yxf,0.4523809523809524,0.6860398738806831,1,12,1.0
Kn0&Kie0&Yeg,1.5,0.5524880643404146,1,4,1.0
Kn0&Kie0&Yef,0.0,0.3502320960300285,0,9,0.9690810141224613
Kn0&Yxn&Yxg,0.0,0.5994942359958002,0,8,1.0
Kn0&Yxn&Yxf,0.0,0.35976658691334573,0,11,0.9690810141224613
Kn0&Yxn&Yeg,0.0,0.35063574125690855,0,10,0.9690810141224613
Kn0&Yxn&Yef,0.0,1.0,0,4,1.0
Kn0&Yxg&Yxf,0.0,1.0,0,3,1.0
Kn0&Yxg&Yeg,2.0238095238095237,0.47257521868691726,1,3,1.0
Kn0&Yxg&Yef,0.0,1.0,0,3,1.0
Kn0&Yxf&Yeg,0.0,1.0,0,3,1.0
Kn0&Yxf&Yef,0.0,1.0,0,2,1.0
Kn0&Yeg&Yef,0.0,1.0,0,1,1.0
Kg0&Kf0&Kig0,0.4523809523809524,0.6860398738806831,1,12,1.0
Kg0&Kf0&Kie0,0.4523809523809524,0.6860398738806831,1,12,1.0
Kg0&Kf0&Yxn,0.0,0.35976658691334573,0,11,0.9690810141224613
Kg0&Kf0&Yxg,0.0,0.5890196509248706,0,6,1.0
Kg0&Kf0&Yxf,2.0238095238095237,0.47257521868691726,1,3,1.0
Kg0&Kf0&Yeg,0.0,1.0,0,3,1.0
Kg0&Kf0&Yef,0.0,1.0,0,3,1.0
Kg0&Kig0&Kie0,0.4523809523809524,0.6860398738806831,1,12,1.0
Kg0&Kig0&Yxn,0.0,0.20609833953005136,0,12,0.8713440018934419
Kg0&Kig0&Yxg,0.0,1.0,0,5,1.0
Kg0&Kig0&Yxf,2.0238095238095237,0.47257521868691726,1,3,1.0
Kg0&Kig0&Yeg,0.0,1.0,0,2,1.0
Kg0&Kig0&Yef,0.0,1.0,0,3,1.0
Kg0&Kie0&Yxn,0.0,1.0,0,3,1.0
Kg0&Kie0&Yxg,0.5,1.0,1,11,1.0
Kg0&Kie0&Yxf,2.5538461538461537,0.2693211915240453,2,5,0.9578300935620561
Kg0&Kie0&Yeg,2.0238095238095237,0.47257521868691726,1,3,1.0
Kg0&Kie0&Yef,0.0,1.0,0,4,1.0
Kg0&Yxn&Yxg,1.1857142857142857,1.0,1,5,1.0
Kg0&Yxn&Yxf,0.0,1.0,0,4,1.0
Kg0&Yxn&Yeg,0.0,0.589725802727405,0,7,1.0
Kg0&Yxn&Yef,3.0714285714285716,0.3795002572787261,1,2,0.9690810141224613
Kg0&Yxg&Yxf,0.0,1.0,0,1,1.0
Kg0&Yxg&Yeg,0.0,1.0,0,2,1.0
Kg0&Yxg&Yef,6.214285714285714,0.271273557966876,1,1,0.9578300935620561
Kg0&Yxf&Yeg,0.0,1.0,0,1,1.0
Kg0&Yxf&Yef,,1.0,0,0,1.0
Kg0&Yeg&Yef,,1.0,0,0,1.0
Kf0&Kig0&Kie0,1.2,0.686039873880683,2,10,1.0
Kf0&Kig0&Yxn,0.0,0.35063574125690855,0,10,0.9690810141224613
Kf0&Kig0&Yxg,0.0,1.0,0,5,1.0
Kf0&Kig0&Yxf,2.0238095238095237,0.47257521868691726,1,3,1.0
Kf0&Kig0&Yeg,0.0,1.0,0,2,1.0
Kf0&Kig0&Yef,3.0714285714285716,0.3795002572787261,1,2,0.9690810141224613
Kf0&Kie0&Yxn,0.0,1.0,0,1,1.0
Kf0&Kie0&Yxg,0.0,1.0,0,5,1.0
Kf0&Kie0&Yxf,2.0238095238095237,0.47257521868691726,1,3,1.0
Kf0&Kie0&Yeg,3.0714285714285716,0.3795002572787261,1,2,0.9690810141224613
Kf0&Kie0&Yef,1.5,0.5524880643404146,1,4,1.0
Kf0&Yxn&Yxg,1.5,0.5524880643404146,1,4,1.0
Kf0&Yxn&Yxf,0.0,1.0,0,4,1.0
Kf0&Yxn&Yeg,4.358974358974359,0.15292383607292767,2,3,0.7540727089113329
Kf0&Yxn&Yef,0.0,1.0,0,1,1.0
Kf0&Yxg&Yxf,,1.0,0,0,1.0
Kf0&Yxg&Yeg,inf,0.14563106796116507,1,0,0.7540727089113329
Kf0&Yxg&Yef,,1.0,0,0,1.0
Kf0&Yxf&Yeg,,1.0,0,0,1.0
Kf0&Yxf&Yef,,1.0,0,0,1.0
Kf0&Yeg&Yef,,1.0,0,0,1.0
Kig0&Kie0&Yxn,0.0,1.0,0,2,1.0
Kig0&Kie0&Yxg,1.1857142857142857,1.0,1,5,1.0
Kig0&Kie0&Yxf,2.0238095238095237,0.47257521868691726,1,3,1.0
Kig0&Kie0&Yeg,0.0,1.0,0,1,1.0
Kig0&Kie0&Yef,4.358974358974359,0.15292383607292767,2,3,0.7540727089113329
Kig0&Yxn&Yxg,0.0,1.0,0,3,1.0
Kig0&Yxn&Yxf,0.0,1.0,0,5,1.0
Kig0&Yxn&Yeg,0.0,1.0,0,4,1.0
Kig0&Yxn&Yef,0.0,1.0,0,3,1.0
Kig0&Yxg&Yxf,,1.0,0,0,1.0
Kig0&Yxg&Yeg,,1.0,0,0,1.0
Kig0&Yxg&Yef,,1.0,0,0,1.0
Kig0&Yxf&Yeg,,1.0,0,0,1.0
Kig0&Yxf&Yef,,1.0,0,0,1.0
Kig0&Yeg&Yef,,1.0,0,0,1.0
Kie0&Yxn&Yxg,0.0,1.0,0,1,1.0
Kie0&Yxn&Yxf,,1.0,0,0,1.0
Kie0&Yxn&Yeg,0.0,1.0,0,2,1.0
Kie0&Yxn&Yef,,1.0,0,0,1.0
Kie0&Yxg&Yxf,0.0,1.0,0,2,1.0
Kie0&Yxg&Yeg,6.214285714285714,0.271273557966876,1,1,0.9578300935620561
Kie0&Yxg&Yef,0.0,1.0,0,2,1.0
Kie0&Yxf&Yeg,0.0,1.0,0,1,1.0
Kie0&Yxf&Yef,0.0,1.0,0,1,1.0
Kie0&Yeg&Yef,,1.0,0,0,1.0
Yxn&Yxg&Yxf,0.0,1.0,0,1,1.0
Yxn&Yxg&Yeg,6.615384615384615,0.1002753730541529,2,2,0.6828275403211365
Yxn&Yxg&Yef,6.214285714285714,0.271273557966876,1,1,0.9578300935620561
Yxn&Yxf&Yeg,3.0714285714285716,0.3795002572787261,1,2,0.9690810141224613
Yxn&Yxf&Yef,6.214285714285714,0.271273557966876,1,1,0.9578300935620561
Yxn&Yeg&Yef,0.0,1.0,0,1,1.0
Yxg&Yxf&Yeg,,1.0,0,0,1.0
Yxg&Yxf&Yef,,1.0,0,0,1.0
Yxg&Yeg&Yef,,1.0,0,0,1.0
Yxf&Yeg&Yef,,1.0,0,0,1.0
