triad,OR,p_value,top_count,rest_count,q_value
mu0&betaG0&betaF0,23.142857142857142,1.724852430751968e-06,10,7,0.0004933077951950628
mu0&betaG0&Kn0,,1.0,0,0,1.0
mu0&betaG0&Kg0,7.083333333333333,0.038762627996502846,3,3,0.41059672618517834
mu0&betaG0&Kf0,7.083333333333333,0.038762627996502846,3,3,0.41059672618517834
mu0&betaG0&Kig0,2.892857142857143,0.15930790371582054,3,7,0.7593676743787445
mu0&betaG0&Kie0,24.791666666666668,3.0995685825344964e-05,7,3,0.00443238307302433
mu0&betaG0&Yxn,3.191919191919192,0.09421161904636378,4,9,0.6828275403211365
mu0&betaG0&Yxg,21.75,0.009364945632198854,3,1,0.26783744508088725
mu0&betaG0&Yxf,10.75,0.021302678525990805,3,2,0.3583862387313747
mu0&betaG0&Yeg,14.166666666666666,0.0014689859251449833,5,3,0.08402599491829305
mu0&betaG0&Yef,21.75,0.009364945632198854,3,1,0.26783744508088725
mu0&betaF0&Kn0,,1.0,0,0,1.0
mu0&betaF0&Kg0,2.8363636363636364,0.1197935552486785,4,10,0.7303497872489069
mu0&betaF0&Kf0,5.25,0.0617125615788769,3,4,0.569348148759961
mu0&betaF0&Kig0,2.1025641025641026,0.32915284529296546,2,6,0.9690810141224613
mu0&betaF0&Kie0,5.851851851851852,0.00812409216329349,6,9,0.26783744508088725
mu0&betaF0&Yxn,5.2,0.011896709159421363,6,10,0.28353823496620917
mu0&betaF0&Yxg,14.166666666666666,0.0014689859251449833,5,3,0.08402599491829305
mu0&betaF0&Yxf,10.75,0.021302678525990805,3,2,0.3583862387313747
mu0&betaF0&Yeg,14.0,0.0005257170984353122,6,4,0.05011836338416643
mu0&betaF0&Yef,10.75,0.021302678525990805,3,2,0.3583862387313747
mu0&Kn0&Kg0,,1.0,0,0,1.0
mu0&Kn0&Kf0,,1.0,0,0,1.0
mu0&Kn0&Kig0,,1.0,0,0,1.0
mu0&Kn0&Kie0,,1.0,0,0,1.0
mu0&Kn0&Yxn,,1.0,0,0,1.0
mu0&Kn0&Yxg,,1.0,0,0,1.0
mu0&Kn0&Yxf,,1.0,0,0,1.0
mu0&Kn0&Yeg,,1.0,0,0,1.0
mu0&Kn0&Yef,,1.0,0,0,1.0
mu0&Kg0&Kf0,0.0,0.5994942359958002,0,8,1.0
mu0&Kg0&Kig0,0.0,0.589725802727405,0,7,1.0
mu0&Kg0&Kie0,2.1944444444444446,0.37610487758340866,3,9,0.9690810141224613
mu0&Kg0&Yxn,0.7142857142857143,1.0,1,8,1.0
mu0&Kg0&Yxg,3.230769230769231,0.2100044401111401,2,4,0.8713440018934419
mu0&Kg0&Yxf,inf,0.14563106796116507,1,0,0.7540727089113329
mu0&Kg0&Yeg,2.0238095238095237,0.47257521868691726,1,3,1.0
mu0&Kg0&Yef,3.0714285714285716,0.3795002572787261,1,2,0.9690810141224613
mu0&Kf0&Kig0,0.826530612244898,1.0,1,7,1.0
mu0&Kf0&Kie0,2.5538461538461537,0.2693211915240453,2,5,0.9578300935620561
mu0&Kf0&Yxn,2.1025641025641026,0.32915284529296546,2,6,0.9690810141224613
mu0&Kf0&Yxg,1.5,0.5524880643404146,1,4,1.0
mu0&Kf0&Yxf,,1.0,0,0,1.0
mu0&Kf0&Yeg,21.75,0.009364945632198854,3,1,0.26783744508088725
mu0&Kf0&Yef,3.0714285714285716,0.3795002572787261,1,2,0.9690810141224613
mu0&Kig0&Kie0,4.15,0.08982623021728513,3,5,0.6828275403211365
mu0&Kig0&Yxn,0.0,0.3502320960300285,0,9,0.9690810141224613
mu0&Kig0&Yxg,3.0714285714285716,0.3795002572787261,1,2,0.9690810141224613
mu0&Kig0&Yxf,0.0,1.0,0,1,1.0
mu0&Kig0&Yeg,0.0,1.0,0,2,1.0
mu0&Kig0&Yef,6.615384615384615,0.1002753730541529,2,2,0.6828275403211365
mu0&Kie0&Yxn,0.0,1.0,0,5,1.0
mu0&Kie0&Yxg,4.358974358974359,0.15292383607292767,2,3,0.7540727089113329
mu0&Kie0&Yxf,inf,0.14563106796116507,1,0,0.7540727089113329
