pair,OR,p_value,top_count,rest_count,q_value
mu0&betaG0,21.45,1.5764552324846056e-06,11,10,0.000122344407922849
mu0&betaF0,19.466666666666665,3.137036100585872e-06,12,15,0.000122344407922849
mu0&Kn0,,1.0,0,0,1.0
mu0&Kg0,1.922077922077922,0.29267692055302164,4,14,0.6714352883275202
mu0&Kf0,2.8363636363636364,0.1197935552486785,4,10,0.3983726112266765
mu0&Kig0,1.5833333333333333,0.454919030053964,3,12,0.8191303790573232
mu0&Kie0,6.125,0.004335890007890224,7,11,0.06142509958977355
mu0&Yxn,3.2444444444444445,0.07568479318745192,6,15,0.29517069343106245
mu0&Yxg,8.3,0.005512508937543781,5,5,0.06142509958977355
mu0&Yxf,10.75,0.021302678525990805,3,2,0.13846741041894023
mu0&Yeg,11.066666666666666,0.0010619312746835347,6,5,0.020707659856328928
mu0&Yef,10.303030303030303,0.00816271655333742,4,3,0.07074354346225764
betaG0&betaF0,3.4551282051282053,0.05072256307186657,11,39,0.2327270540944466
betaG0&Kn0,0.08974358974358974,0.007939486493589696,1,39,0.07074354346225764
betaG0&Kg0,1.95,0.3982430916046426,3,10,0.7765740286290531
betaG0&Kf0,1.2166666666666666,0.7231410346274807,3,15,1.0
betaG0&Kig0,0.7976190476190477,1.0,3,21,1.0
betaG0&Kie0,2.88,0.07376819689197674,8,25,0.29517069343106245
betaG0&Yxn,0.8671328671328671,1.0,4,26,1.0
betaG0&Yxg,2.303030303030303,0.24400926256214533,4,12,0.5947725774952293
betaG0&Yxf,1.0441176470588236,1.0,3,17,1.0
betaG0&Yeg,4.666666666666667,0.01681648555562574,6,11,0.11924417030352798
betaG0&Yef,1.95,0.3982430916046426,3,10,0.7765740286290531
betaF0&Kn0,0.03884711779448621,2.4550239446456495e-05,1,57,0.0006383062256078688
betaF0&Kg0,0.43636363636363634,0.2594043249852027,4,40,0.6131374954195701
betaF0&Kf0,0.9078947368421053,1.0,3,19,1.0
betaF0&Kig0,0.43478260869565216,0.35058052731772715,2,23,0.7390616521833167
betaF0&Kie0,1.0030487804878048,1.0,7,41,1.0
betaF0&Yxn,1.0095238095238095,1.0,6,35,1.0
betaF0&Yxg,2.126984126984127,0.21153261802492634,6,21,0.5322433614820727
betaF0&Yxf,0.75,1.0,3,22,1.0
betaF0&Yeg,3.6544117647058822,0.04155134006048661,7,17,0.20734322444132028
betaF0&Yef,1.3214285714285714,0.7100776740086863,3,14,1.0
Kn0&Kg0,0.10816326530612246,0.016776457294632577,1,35,0.11924417030352798
Kn0&Kf0,0.18,0.10733505956829181,1,25,0.38055157483303464
Kn0&Kig0,0.16137566137566137,0.06317469442047827,1,27,0.2737570091554058
Kn0&Kie0,0.20242914979757085,0.04253194347514262,2,38,0.20734322444132028
Kn0&Yxn,0.0,0.005364023179864109,0,29,0.06142509958977355
Kn0&Yxg,0.22789115646258504,0.18246867063740127,1,21,0.49096820954846926
Kn0&Yxf,0.20186335403726707,0.18253946252443087,1,23,0.49096820954846926
Kn0&Yeg,0.37755102040816324,0.6912258089323032,1,14,1.0
Kn0&Yef,0.0,0.2063785700872821,0,13,0.5322433614820727
Kg0&Kf0,0.20186335403726707,0.18253946252443087,1,23,0.49096820954846926
Kg0&Kig0,0.20186335403726707,0.18253946252443087,1,23,0.49096820954846926
Kg0&Kie0,0.703030303030303,0.768257674029569,4,30,1.0
Kg0&Yxn,0.21428571428571427,0.1804452230963457,1,22,0.49096820954846926
Kg0&Yxg,0.7487179487179487,1.0,2,15,1.0
Kg0&Yxf,1.3504273504273505,0.6605473850077472,2,9,1.0
Kg0&Yeg,0.626984126984127,1.0,1,9,1.0
Kg0&Yef,0.9761904761904762,1.0,1,6,1.0
Kf0&Kig0,0.5587044534412956,0.7301162754415382,2,19,1.0
Kf0&Kie0,0.9078947368421053,1.0,3,19,1.0
Kf0&Yxn,0.6425339366515838,0.731826806090148,2,17,1.0
Kf0&Yxg,0.626984126984127,1.0,1,9,1.0
Kf0&Yxf,0.826530612244898,1.0,1,7,1.0
Kf0&Yeg,4.15,0.08982623021728513,3,5,0.3336402836642019
Kf0&Yef,1.1857142857142857,1.0,1,5,1.0
Kig0&Kie0,1.1601731601731602,0.755337287273804,4,21,1.0
Kig0&Yxn,0.0,0.038737304626363885,0,20,0.20734322444132028
Kig0&Yxg,0.7142857142857143,1.0,1,8,1.0
Kig0&Yxf,0.7142857142857143,1.0,1,8,1.0
Kig0&Yeg,0.0,1.0,0,5,1.0
Kig0&Yef,2.1025641025641026,0.32915284529296546,2,6,0.7131644981347586
Kie0&Yxn,0.0,1.0,0,5,1.0
Kie0&Yxg,1.125,1.0,3,16,1.0
Kie0&Yxf,0.9743589743589743,1.0,2,12,1.0
Kie0&Yeg,3.4166666666666665,0.1225761880697466,3,6,0.3983726112266765
Kie0&Yef,1.2,0.686039873880683,2,10,1.0
Yxn&Yxg,1.75,0.4248983957595018,3,11,0.8083432894936864
Yxn&Yxf,0.8875739644970414,1.0,2,13,1.0
Yxn&Yeg,1.7696969696969698,0.4697208790108357,4,15,0.8191303790573232
Yxn&Yef,2.1025641025641026,0.32915284529296546,2,6,0.7131644981347586
Yxg&Yxf,0.0,1.0,0,3,1.0
Yxg&Yeg,7.083333333333333,0.038762627996502846,3,3,0.20734322444132028
Yxg&Yef,2.0238095238095237,0.47257521868691726,1,3,0.8191303790573232
Yxf&Yeg,2.0238095238095237,0.47257521868691726,1,3,0.8191303790573232
Yxf&Yef,3.0714285714285716,0.3795002572787261,1,2,0.7765740286290531
Yeg&Yef,0.0,1.0,0,1,1.0
