model_id,votes,vote_share,rank_sd,rank_iqr,fitness_mean,fitness_sd,fitness_iqr,top15_rank
1750,23.0,0.6571428571428571,12.834892044014731,11.0,0.9310924369747898,0.1258322749413209,0.10784313725490202,1
1860,4.0,0.11428571428571428,15.523741643748414,13.5,0.8756302521008404,0.15219354552694525,0.13235294117647067,2
2264,4.0,0.11428571428571428,31.826684010843017,34.5,0.31316526610644263,0.3120263138317943,0.338235294117647,3
2324,2.0,0.05714285714285714,14.084200576616087,10.0,0.7980392156862747,0.13808039780996167,0.0980392156862745,4
1966,1.0,0.02857142857142857,26.9548330584718,3.5,0.8599439775910366,0.2642630692007039,0.03431372549019618,5
2245,1.0,0.02857142857142857,26.26151608134527,7.5,0.8378151260504199,0.2574658439347576,0.07352941176470595,6
1729,0.0,0.0,15.971613474373523,13.0,0.8949579831932775,0.15658444582719142,0.12745098039215685,7
2653,0.0,0.0,9.916627239052566,11.5,0.8596638655462187,0.09722183567698595,0.11274509803921573,8
2247,0.0,0.0,12.55642726042,11.5,0.8585434173669467,0.12310222804333332,0.11274509803921573,9
1752,0.0,0.0,19.533638299356422,4.0,0.8557422969187674,0.19150625783682765,0.039215686274509776,10
2490,0.0,0.0,14.928006502921297,22.5,0.8521008403361344,0.14635300493060097,0.22058823529411764,11
1923,0.0,0.0,24.157918826273235,5.0,0.8389355742296918,0.23684234143405128,0.04901960784313719,12
1957,0.0,0.0,10.447306757600018,8.5,0.823249299719888,0.10242457605490213,0.08333333333333326,13
2214,0.0,0.0,10.569656903552902,12.0,0.8098039215686272,0.10362408728973435,0.11764705882352944,14
1726,0.0,0.0,16.020889724451173,23.5,0.7932773109243697,0.15706754631814876,0.23039215686274517,15
