scenario_a,scenario_b,jaccard,intersect,union
No-priority,Parsimony,0.5,10,20
No-priority,Goodness-of-fit,0.5,10,20
No-priority,Identifiability,0.5789473684210527,11,19
No-priority,Sensitivity,0.07142857142857142,2,28
Parsimony,Goodness-of-fit,0.7647058823529411,13,17
Parsimony,Identifiability,0.5,10,20
Parsimony,Sensitivity,0.0,0,30
Goodness-of-fit,Identifiability,0.5,10,20
Goodness-of-fit,Sensitivity,0.0,0,30
Identifiability,Sensitivity,0.0,0,30
