scenario,mean,min,max
Goodness-of-fit,0.9327430855325863,0.7960396257083865,0.9997693625620526
Identifiability,0.9443984873727386,0.8453630892237403,0.9990225365725081
No-priority,0.9494673631349686,0.8547643105038879,0.9958375433818037
Parsimony,0.9438072589724904,0.8384110178798928,0.9990664675130696
Sensitivity,0.7141544531447254,-0.02549092826077406,0.9994618459781224
