,0,1,2,3,4,5,6,7,8,9,10
$K_{f0}$,100.0,91.7,83.3,74.0,65.5,56.8,47.7,38.7,28.9,20.6,13.3
$K_{g0}$,100.0,91.7,84.8,77.1,69.7,61.7,53.5,45.3,38.1,31.7,31.7
$K_{ie0}$,100.0,91.7,83.3,76.7,71.0,64.4,58.7,53.4,47.5,41.3,33.3
$K_{ig0}$,100.0,91.7,81.8,72.2,64.2,56.4,48.7,40.4,32.2,26.2,20.0
$K_{n0}$,100.0,91.7,83.3,77.1,72.7,69.2,66.8,64.3,63.5,63.5,63.5
$Y_{ef}$,100.0,91.7,83.3,75.3,66.5,57.5,48.6,39.2,29.4,21.4,20.0
$Y_{eg}$,100.0,91.7,84.8,78.0,69.3,61.3,53.1,45.6,37.6,28.6,6.7
$Y_{xf}$,100.0,91.7,83.3,74.0,64.8,57.3,48.5,39.2,26.8,12.7,0.0
$Y_{xg}$,100.0,100.0,93.9,84.3,72.5,61.0,50.3,41.3,34.6,24.6,0.0
$Y_{xn}$,100.0,91.7,84.8,79.4,73.3,66.9,60.6,53.6,44.9,35.7,33.3
$\beta_{F0}$,100.0,91.7,83.3,74.9,66.7,58.2,49.3,40.4,32.7,23.8,13.3
$\beta_{G0}$,100.0,91.7,84.8,77.6,70.4,62.5,54.0,45.2,37.9,31.7,26.7
$\mu_0$,100.0,91.7,84.8,79.4,73.4,67.0,60.1,53.3,45.6,36.5,26.7
