n_fixed,N_all,N_retained,retention,ci_lo,ci_hi,is_knee,Fobj_mean,Fobj_std,Fobj_n,retention_pct,ci_lo_pct,ci_hi_pct
0,1,0,0.0,0.0,0.7934567085261071,False,,,,0.0,0.0,79.35
1,12,0,0.0,0.0,0.2425007574992425,False,,,,0.0,0.0,24.25
2,66,0,0.0,0.0,0.05500446725160935,False,,,,0.0,0.0,5.5
3,223,0,0.0,0.0,0.01693516533122672,False,,,,0.0,0.0,1.69
4,531,2,0.003766478342749529,0.0010334909886387687,0.01362804618423634,False,0.12247824663905657,0.07509526964923124,2.0,0.38,0.1,1.36
5,887,23,0.02593010146561443,0.01733964756847625,0.038609243906731025,False,0.24417204680417062,0.1601383292763785,23.0,2.59,1.73,3.86
6,1035,108,0.10434782608695652,0.08716287439376605,0.12445899365618496,True,0.2142945913424595,0.14633766081677554,108.0,10.43,8.72,12.45
7,826,205,0.24818401937046006,0.21993653942034075,0.2787629714260666,False,0.20081096329534953,0.1458159752213805,205.0,24.82,21.99,27.88
8,425,186,0.4376470588235294,0.39124813591627366,0.4851631077690404,False,0.234526931740658,0.17204733414044363,186.0,43.76,39.12,48.52
9,126,94,0.746031746031746,0.6635277527494343,0.8139771455266189,False,0.21114961949207853,0.16531315095610222,94.0,74.6,66.35,81.4
10,15,12,0.8,0.5481406466534955,0.9295257935638959,False,0.16067256334477772,0.15895625034482724,12.0,80.0,54.81,92.95
