depth,avg_free,avg_fixed
0,1.0,0.0
1,0.9230769230769231,0.07692307692307687
2,0.8461538461538461,0.15384615384615385
3,0.7692307692307693,0.23076923076923073
4,0.6923076923076923,0.3076923076923077
5,0.6153846153846154,0.3846153846153846
6,0.5384615384615384,0.46153846153846156
7,0.46153846153846156,0.5384615384615384
8,0.38461538461538464,0.6153846153846154
9,0.30650003591180064,0.6934999640881994
10,0.2220067514185161,0.7779932485814839
