n_free,N_all,N_retained,retention,retention_pct,ci_lo_pct,ci_hi_pct,retention_ci_width,Fobj_mean,Fobj_std,Fobj_ci_lo,Fobj_ci_hi,metric_PWR,metric_QS,metric_WCS,metric_PES,metric_RI,metric_IEI,metric_BPI,metric_SPI,metric_PSC,metric_TAS
3,15,12,0.8,80.0,54.81,92.95,0.3814,0.1607,0.159,0.07073459809733736,0.2506105285922181,2.098,3.496,0.58,1.423,1.198,0.754,1.287,5.297,2.526,0.002
4,126,94,0.746,74.6,66.35,81.4,0.1504,0.2111,0.1653,0.17773015024038477,0.24456908874377228,4.959,6.454,0.446,1.357,0.859,1.465,1.494,13.332,2.843,0.025
5,425,186,0.4376,43.76,39.12,48.52,0.0939,0.2345,0.172,0.20980129144582338,0.2592525720354926,4.66,5.487,0.23,0.38,0.173,0.984,1.019,6.277,1.316,0.081
6,826,205,0.2482,24.82,21.99,27.88,0.0588,0.2008,0.1458,0.18084987353379706,0.220772053056902,4.219,9.631,0.255,1.597,0.458,5.155,1.385,32.242,3.749,1.216
7,1035,108,0.1043,10.43,8.72,12.45,0.0373,0.2143,0.1463,0.186695149306512,0.24189403337840704,2.798,9.03,0.144,0.769,0.118,2.284,0.843,14.385,2.186,1.901
8,887,23,0.0259,2.59,1.73,3.86,0.0213,0.2442,0.1601,0.1787253930057704,0.30961870060257085,1.219,1.535,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,531,2,0.0038,0.38,0.1,1.36,0.0126,0.1225,0.0751,0.01840151280720924,0.2265549804709039,0.299,100.471,0.402,0.471,0.004,0.258,0.215,2.663,0.617,1.888
10,223,0,0.0,0.0,0.0,1.69,0.0169,,,,,0.0,,,,,,,,,
11,66,0,0.0,0.0,0.0,5.5,0.055,,,,,0.0,,,,,,,,,
12,12,0,0.0,0.0,0.0,24.25,0.2425,,,,,0.0,,,,,,,,,
13,1,0,0.0,0.0,0.0,79.35,0.7935,,,,,0.0,,,,,,,,,
