n_fixed,Metric,N_models,Mean,SD,Median,Q1,Q3,IQR,P5,P95,N_Outliers
0,Akaike,1,-213.6279,,-213.6279,-213.6279,-213.6279,0.0,-213.6279,-213.6279,0
0,MeanCC,1,21.4664,,21.4664,21.4664,21.4664,0.0,21.4664,21.4664,0
0,Fobj,1,0.0854,,0.0854,0.0854,0.0854,0.0,0.0854,0.0854,0
1,Akaike,12,-369.3622,3.034,-368.4323,-372.2542,-367.4559,4.7983,-373.4953,-365.2401,0
1,MeanCC,12,7.607,8.7336,4.8728,1.8373,9.3019,7.4646,0.2893,22.354,1
1,Fobj,12,0.3185,0.1399,0.3001,0.2082,0.4309,0.2227,0.1362,0.5137,0
2,Akaike,66,65535.0,0.0,65535.0,65535.0,65535.0,0.0,65535.0,65535.0,0
2,MeanCC,66,4.4859,5.6683,2.4582,1.0422,4.4799,3.4376,0.2527,18.8157,10
2,Fobj,66,0.2755,0.1336,0.2567,0.1516,0.3841,0.2325,0.0933,0.5084,0
3,Akaike,223,254.2739,2.4067,254.2923,252.5742,255.8818,3.3076,250.2871,258.1155,0
3,MeanCC,223,2.5687,3.3268,1.7229,0.5934,3.1789,2.5855,0.1786,7.7616,15
3,Fobj,223,0.2426,0.136,0.2209,0.1237,0.3304,0.2067,0.0739,0.516,1
4,Akaike,531,98.5486,2.2129,98.4536,96.9265,100.0142,3.0877,95.1902,102.2633,3
4,MeanCC,531,1.7156,2.8939,0.8733,0.3284,1.9418,1.6134,0.0846,5.7959,40
4,Fobj,531,0.2525,0.1413,0.2322,0.1234,0.3555,0.2321,0.0742,0.5185,0
5,Akaike,887,46.5882,2.2032,46.5863,45.1037,47.8449,2.7412,42.9736,50.4344,18
5,MeanCC,887,1.1011,1.4569,0.4718,0.1596,1.4989,1.3393,0.0245,3.9707,58
5,Fobj,887,0.2358,0.144,0.2057,0.1032,0.3386,0.2354,0.0737,0.5104,0
6,Akaike,1035,20.5927,2.0263,20.6566,19.2507,21.7254,2.4747,17.2193,24.1154,25
6,MeanCC,1035,0.6385,0.9031,0.2468,0.0944,0.8711,0.7767,0.012,2.3368,75
6,Fobj,1035,0.219,0.1466,0.1715,0.0903,0.3195,0.2293,0.0732,0.5112,0
7,Akaike,826,5.0674,1.9046,5.0488,3.8561,6.1232,2.2671,2.086,8.4041,26
7,MeanCC,826,0.3728,0.635,0.1175,0.035,0.3778,0.3428,0.0029,1.6175,109
7,Fobj,826,0.205,0.1433,0.1381,0.0864,0.2965,0.21,0.0749,0.5097,2
8,Akaike,425,-5.365,1.8338,-5.3922,-6.4089,-4.4558,1.9531,-8.1554,-1.9379,26
8,MeanCC,425,0.2382,0.3952,0.0616,0.0121,0.2262,0.214,0.0009,1.1902,64
8,Fobj,425,0.22,0.1629,0.1305,0.088,0.3277,0.2398,0.0756,0.5441,0
9,Akaike,126,-12.722,1.698,-12.8897,-13.7191,-12.0233,1.6957,-15.0059,-9.5753,7
9,MeanCC,126,0.1317,0.2528,0.0224,0.0039,0.1029,0.099,0.0003,0.7613,22
9,Fobj,126,0.1975,0.1621,0.0985,0.0838,0.2837,0.1999,0.0753,0.5448,2
10,Akaike,15,-18.4575,0.8737,-18.2436,-18.8304,-18.1075,0.7228,-19.7855,-16.9737,3
10,MeanCC,15,0.0541,0.1089,0.0029,0.0014,0.0083,0.0069,0.0003,0.2539,3
10,Fobj,15,0.1446,0.1448,0.0864,0.0843,0.0942,0.01,0.0779,0.4492,3
