term,coef,OR,OR_CI_low,OR_CI_high,p_value
const,-9.12674631915161,0.00010871874635362188,5.6825440737063645e-05,0.00020800130461625938,2.3851385565720166e-167
n_fixed,1.086698747687586,2.9644714327995043,2.7009487206262928,3.2537051920950844,7.531702126203898e-116
mu0,-0.4147760154783436,0.6604882032724514,0.5371980607272784,0.8120741651067523,8.329539930056395e-05
betaG0,0.30996020752794656,1.363370861155864,1.1136003242727588,1.6691626829964925,0.0026807477353295735
Kie0,0.676318119765205,1.9666235135993382,1.6091384041699948,2.4035272753537607,3.9097065425749026e-11
