metric,optimal_n_free,max_value,retention,retention_pct,fobj_mean,ci_width,N_all,N_retained
metric_PWR,4,4.958688980131799,0.746031746031746,74.60317460317461,0.21114961949207853,0.1504493927771846,126,94
metric_QS,9,100.47080979284368,0.003766478342749529,0.3766478342749529,0.12247824663905657,0.01259455519559757,531,2
metric_WCS,3,0.5800003573371434,0.8,80.0,0.16067256334477772,0.3813851469104004,15,12
metric_PES,6,1.597241288719121,0.24818401937046006,24.818401937046005,0.20081096329534953,0.05882643200572585,826,205
metric_RI,3,1.1979169954323996,0.8,80.0,0.16067256334477772,0.3813851469104004,15,12
metric_IEI,6,5.154570424295091,0.24818401937046006,24.818401937046005,0.20081096329534953,0.05882643200572585,826,205
metric_BPI,4,1.4939684338738108,0.746031746031746,74.60317460317461,0.21114961949207853,0.1504493927771846,126,94
metric_SPI,6,32.24212378138822,0.24818401937046006,24.818401937046005,0.20081096329534953,0.05882643200572585,826,205
metric_PSC,6,3.749412421381986,0.24818401937046006,24.818401937046005,0.20081096329534953,0.05882643200572585,826,205
metric_TAS,7,1.9010329983803904,0.10434782608695652,10.434782608695652,0.2142945913424595,0.03729611926241891,1035,108
