estim_params,pc1_pct,pc2_pct,centroid_distance,n_I,n_II
3,53.037,33.236,2.469,3,12
4,42.012,33.063,1.477,32,94
5,40.414,32.806,0.725,239,186
6,36.104,33.372,0.427,621,205
7,36.0,34.541,0.497,927,108
8,36.351,35.301,0.534,864,23
9,38.073,31.691,0.983,529,2
