Metric,N,Mean,SD,Median,Q1,Q3,IQR,Min,Max,P5,P95,N_Outliers,Lower_Fence,Upper_Fence
Akaike,4147,1083.2793,8197.6372,21.2816,5.2588,47.8922,42.6334,-373.9169,65535.0,-7.1877,253.4829,302,-58.6913,111.8424
MeanCC,4147,0.9541,1.9849,0.2842,0.0789,1.1296,1.0508,0.0,37.0359,0.005,3.77,347,-1.4973,2.7058
Fobj,4147,0.2257,0.1472,0.1863,0.0922,0.3272,0.235,0.0514,0.6715,0.074,0.5188,0,-0.2603,0.6796
