param,depth_free_frac_le_50
Kn0,
Yxn,8.0
Kie0,8.0
mu0,8.0
Kg0,7.0
betaG0,7.0
Yxg,7.0
Yeg,7.0
betaF0,6.0
Kig0,6.0
Yef,6.0
Kf0,6.0
Yxf,6.0
