n_free,N_all,N_retained,retention,ci_lo,ci_hi,is_knee,Fobj_mean,Fobj_std,Fobj_n,Fobj_se,Fobj_ci_lo,Fobj_ci_hi,retention_pct,ci_lo_pct,ci_hi_pct,is_knee_plot
3,15,12,0.8,0.5481406466534955,0.9295257935638959,False,0.16067256334477772,0.15895625034482724,12.0,0.04588671696297978,0.07073459809733736,0.2506105285922181,80.0,54.81,92.95,False
4,126,94,0.746031746031746,0.6635277527494343,0.8139771455266189,False,0.21114961949207853,0.16531315095610222,94.0,0.017050749618211097,0.17773015024038477,0.24456908874377228,74.6,66.35,81.4,False
5,425,186,0.4376470588235294,0.39124813591627366,0.4851631077690404,False,0.234526931740658,0.17204733414044363,186.0,0.01261512259940542,0.20980129144582338,0.2592525720354926,43.76,39.12,48.52,False
6,826,205,0.24818401937046006,0.21993653942034075,0.2787629714260666,False,0.20081096329534953,0.1458159752213805,205.0,0.010184229470179827,0.18084987353379706,0.220772053056902,24.82,21.99,27.88,False
7,1035,108,0.10434782608695652,0.08716287439376605,0.12445899365618496,True,0.2142945913424595,0.14633766081677554,108.0,0.014081347977524252,0.186695149306512,0.24189403337840704,10.43,8.72,12.45,True
8,887,23,0.02593010146561443,0.01733964756847625,0.038609243906731025,False,0.24417204680417062,0.1601383292763785,23.0,0.033391149897142966,0.1787253930057704,0.30961870060257085,2.59,1.73,3.86,False
9,531,2,0.003766478342749529,0.0010334909886387687,0.01362804618423634,False,0.12247824663905657,0.07509526964923124,2.0,0.05310037440400374,0.01840151280720924,0.2265549804709039,0.38,0.1,1.36,False
