term,coef,OR,OR_CI_low,OR_CI_high,p_value
const,-9.126746319151623,0.00010871874635362053,5.682544073706354e-05,0.0002080013046162546,2.3851385565391626e-167
n_fixed,1.0866987476875878,2.9644714327995096,2.700948720626302,3.2537051920950852,7.53170212613012e-116
mu0,-0.4147760154783442,0.660488203272451,0.537198060727278,0.8120741651067519,8.329539930056197e-05
betaG0,0.3099602075279461,1.3633708611558633,1.1136003242727581,1.6691626829964918,0.0026807477353296178
Kie0,0.6763181197652048,1.966623513599338,1.6091384041699945,2.4035272753537607,3.909706542575031e-11
