n_fixed,Akaike,MeanCC,Fobj
0,-213.62789439994967,21.466419182139752,0.08538313836022052
1,-369.36224530775945,7.6070120640526655,0.318457408656536
2,65535.0,4.485924419856242,0.2754697133030343
3,254.27385549385986,2.5686701058376635,0.24261807766087182
4,98.54857842705475,1.7156152899049943,0.2525051606506131
5,46.588197500016534,1.1010877265299905,0.23578832528483215
6,20.592700030663764,0.6384636213638826,0.2190053543111771
7,5.067430057949827,0.3728038700544863,0.2049668750752358
8,-5.365017575694753,0.2381640668323169,0.21995453036402932
9,-12.722011184010036,0.13170674028598095,0.19754210834624908
10,-18.4574956650935,0.05410233182951983,0.14461755397416484
