index,mean,sd,p5,p95,q1,q3,iqr,lower_fence,upper_fence,outlier_count
Akaike,1083.2793,8197.6372,-7.1877,253.4829,5.2588,47.8922,42.6334,-58.6913,111.8424,302
MeanCC,0.9541,1.9849,0.005,3.77,0.0789,1.1296,1.0508,-1.4973,2.7058,347
Fobj,0.2257,0.1472,0.074,0.5188,0.0922,0.3272,0.235,-0.2603,0.6796,0
