n_fixed,count_all,count_retained,retention_rate,retention_rate_pct
3.0,223,0,0.0,0.0
4.0,531,2,0.003766478342749529,0.38
5.0,887,23,0.02593010146561443,2.59
6.0,1035,108,0.10434782608695652,10.43
7.0,826,205,0.24818401937046006,24.82
8.0,425,186,0.4376470588235294,43.76
9.0,126,94,0.746031746031746,74.6
10.0,15,12,0.8,80.0
11.0,0,0,,
12.0,0,0,,
13.0,0,0,,
